[11:47:58] :: BelleShell has started!
[11:47:58] :: Getting all processes and removing window decoration...
[11:47:58] - sihost.exe  (PID: 3444)
[11:47:58] - svchost.exe  (PID: 896)
[11:47:58] - taskhostw.exe  (PID: 3860)
[11:47:58] - ctfmon.exe  (PID: 788)
[11:47:58] - Explorer.EXE  (PID: 984)
[11:47:58] - svchost.exe  (PID: 3564)
[11:47:58] - DllHost.exe  (PID: 3684)
[11:47:58] - StartMenuExperienceHost.exe  (PID: 1760)
[11:47:58] - RuntimeBroker.exe  (PID: 2032)
[11:47:58] - SearchUI.exe  (PID: 2028)
[11:47:58] - RuntimeBroker.exe  (PID: 2972)
[11:47:58] - ApplicationFrameHost.exe  (PID: 4232)
[11:47:58] - RuntimeBroker.exe  (PID: 4656)
[11:47:58] - SecurityHealthSystray.exe  (PID: 5312)
[11:47:58] - vm3dservice.exe  (PID: 5460)
[11:47:58] - vmtoolsd.exe  (PID: 5488)
[11:47:58] - OneDrive.exe  (PID: 5544)
[11:47:58] - WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe  (PID: 3484)
[11:47:58] - LockApp.exe  (PID: 4936)
[11:47:58] - RuntimeBroker.exe  (PID: 1004)
[11:47:58] - smartscreen.exe  (PID: 7076)
[11:47:58] - DllHost.exe  (PID: 6364)
[11:47:58] - RuntimeBroker.exe  (PID: 7240)
[11:47:58] - ShellExperienceHost.exe  (PID: 9124)
[11:47:58] - codeblocks.exe  (PID: 1812)
[11:47:58] - SkypeApp.exe  (PID: 5884)
[11:47:58] - RuntimeBroker.exe  (PID: 9972)
[11:47:58] - taskhostw.exe  (PID: 10156)
[11:47:58] - Microsoft.Photos.exe  (PID: 9992)
[11:47:58] - RuntimeBroker.exe  (PID: 9212)
[11:47:58] - SkypeBackgroundHost.exe  (PID: 2532)
[11:47:58] - YourPhone.exe  (PID: 7336)
[11:47:58] - RuntimeBroker.exe  (PID: 10480)
[11:47:58] - RuntimeBroker.exe  (PID: 7716)
[11:47:58] - wwahost.exe  (PID: 6360)
[11:47:58] - SpeechRuntime.exe  (PID: 2036)
[11:47:58] - YourPhoneServer.exe  (PID: 11124)
[11:47:58] - MusNotifyIcon.exe  (PID: 11736)
[11:47:58] - icedragon.exe  (PID: 1680)
[11:47:58] - icedragon.exe  (PID: 4856)
[11:47:58] - icedragon.exe  (PID: 8348)
[11:47:58] - icedragon.exe  (PID: 6384)
[11:47:58] - icedragon.exe  (PID: 12588)
[11:47:58] - icedragon.exe  (PID: 12836)
[11:47:58] - icedragon.exe  (PID: 8232)
[11:47:58] - RuntimeBroker.exe  (PID: 10288)
[11:47:58] - cmd.exe  (PID: 13028)
[11:47:58] - conhost.exe  (PID: 11384)
[11:47:58] - Taskmgr.exe  (PID: 4320)
[11:47:58] - CompPkgSrv.exe  (PID: 2188)
[11:47:58] - MicrosoftEdge.exe  (PID: 7040)
[11:47:58] - browser_broker.exe  (PID: 4384)
[11:47:58] - MicrosoftEdgeSH.exe  (PID: 11676)
[11:47:58] - MicrosoftEdgeCP.exe  (PID: 12820)
[11:47:58] - Lightshot.exe  (PID: 12008)
[11:47:58] - SearchFilterHost.exe  (PID: 13236)
