[11:33:27] :: BelleShell has started!
[11:33:27] :: Getting all processes and removing window decoration...
[11:33:27] - sihost.exe  (PID: 3444)
[11:33:27] - svchost.exe  (PID: 896)
[11:33:27] - taskhostw.exe  (PID: 3860)
[11:33:27] - ctfmon.exe  (PID: 788)
[11:33:27] - Explorer.EXE  (PID: 984)
[11:33:27] - svchost.exe  (PID: 3564)
[11:33:27] - DllHost.exe  (PID: 3684)
[11:33:27] - StartMenuExperienceHost.exe  (PID: 1760)
[11:33:27] - RuntimeBroker.exe  (PID: 2032)
[11:33:27] - SearchUI.exe  (PID: 2028)
[11:33:27] - RuntimeBroker.exe  (PID: 2972)
[11:33:27] - ApplicationFrameHost.exe  (PID: 4232)
[11:33:27] - RuntimeBroker.exe  (PID: 4656)
[11:33:27] - SecurityHealthSystray.exe  (PID: 5312)
[11:33:27] - vm3dservice.exe  (PID: 5460)
[11:33:27] - vmtoolsd.exe  (PID: 5488)
[11:33:27] - OneDrive.exe  (PID: 5544)
[11:33:27] - WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe  (PID: 3484)
[11:33:27] - LockApp.exe  (PID: 4936)
[11:33:27] - RuntimeBroker.exe  (PID: 1004)
[11:33:27] - smartscreen.exe  (PID: 7076)
[11:33:27] - DllHost.exe  (PID: 6364)
[11:33:27] - RuntimeBroker.exe  (PID: 7240)
[11:33:27] - ShellExperienceHost.exe  (PID: 9124)
[11:33:27] - codeblocks.exe  (PID: 1812)
[11:33:27] - SystemSettings.exe  (PID: 4208)
[11:33:27] - SkypeApp.exe  (PID: 5884)
[11:33:27] - RuntimeBroker.exe  (PID: 9972)
[11:33:27] - taskhostw.exe  (PID: 10156)
[11:33:27] - Microsoft.Photos.exe  (PID: 9992)
[11:33:27] - RuntimeBroker.exe  (PID: 9212)
[11:33:27] - SkypeBackgroundHost.exe  (PID: 2532)
[11:33:27] - YourPhone.exe  (PID: 7336)
[11:33:27] - RuntimeBroker.exe  (PID: 10480)
[11:33:27] - RuntimeBroker.exe  (PID: 7716)
[11:33:27] - wwahost.exe  (PID: 6360)
[11:33:27] - SpeechRuntime.exe  (PID: 2036)
[11:33:27] - YourPhoneServer.exe  (PID: 11124)
[11:33:27] - MusNotifyIcon.exe  (PID: 11736)
[11:33:27] - icedragon.exe  (PID: 1680)
[11:33:27] - icedragon.exe  (PID: 4856)
[11:33:27] - icedragon.exe  (PID: 8348)
[11:33:27] - icedragon.exe  (PID: 6384)
[11:33:27] - icedragon.exe  (PID: 12588)
[11:33:27] - icedragon.exe  (PID: 12836)
[11:33:27] - icedragon.exe  (PID: 8232)
[11:33:27] - RuntimeBroker.exe  (PID: 10288)
[11:33:27] - cmd.exe  (PID: 13028)
[11:33:27] - conhost.exe  (PID: 11384)
[11:33:27] - Taskmgr.exe  (PID: 4320)
[11:33:27] - CompPkgSrv.exe  (PID: 2188)
[11:33:27] - MicrosoftEdge.exe  (PID: 7040)
[11:33:27] - browser_broker.exe  (PID: 4384)
[11:33:27] - MicrosoftEdgeSH.exe  (PID: 11676)
[11:33:27] - MicrosoftEdgeCP.exe  (PID: 12820)
[11:33:27] - Lightshot.exe  (PID: 12008)
[11:33:27] - SearchFilterHost.exe  (PID: 8744)
