[11:37:14] :: BelleShell has started!
[11:37:14] :: Getting all processes and removing window decoration...
[11:37:14] - sihost.exe  (PID: 3444)
[11:37:14] - svchost.exe  (PID: 896)
[11:37:14] - taskhostw.exe  (PID: 3860)
[11:37:14] - ctfmon.exe  (PID: 788)
[11:37:14] - Explorer.EXE  (PID: 984)
[11:37:14] - svchost.exe  (PID: 3564)
[11:37:14] - DllHost.exe  (PID: 3684)
[11:37:14] - StartMenuExperienceHost.exe  (PID: 1760)
[11:37:14] - RuntimeBroker.exe  (PID: 2032)
[11:37:14] - SearchUI.exe  (PID: 2028)
[11:37:14] - RuntimeBroker.exe  (PID: 2972)
[11:37:14] - ApplicationFrameHost.exe  (PID: 4232)
[11:37:14] - RuntimeBroker.exe  (PID: 4656)
[11:37:14] - SecurityHealthSystray.exe  (PID: 5312)
[11:37:14] - vm3dservice.exe  (PID: 5460)
[11:37:14] - vmtoolsd.exe  (PID: 5488)
[11:37:14] - OneDrive.exe  (PID: 5544)
[11:37:14] - WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe  (PID: 3484)
[11:37:14] - LockApp.exe  (PID: 4936)
[11:37:14] - RuntimeBroker.exe  (PID: 1004)
[11:37:14] - smartscreen.exe  (PID: 7076)
[11:37:14] - DllHost.exe  (PID: 6364)
[11:37:14] - RuntimeBroker.exe  (PID: 7240)
[11:37:14] - ShellExperienceHost.exe  (PID: 9124)
[11:37:14] - codeblocks.exe  (PID: 1812)
[11:37:14] - SystemSettings.exe  (PID: 4208)
[11:37:14] - SkypeApp.exe  (PID: 5884)
[11:37:14] - RuntimeBroker.exe  (PID: 9972)
[11:37:14] - taskhostw.exe  (PID: 10156)
[11:37:14] - Microsoft.Photos.exe  (PID: 9992)
[11:37:14] - RuntimeBroker.exe  (PID: 9212)
[11:37:14] - SkypeBackgroundHost.exe  (PID: 2532)
[11:37:14] - YourPhone.exe  (PID: 7336)
[11:37:14] - RuntimeBroker.exe  (PID: 10480)
[11:37:14] - RuntimeBroker.exe  (PID: 7716)
[11:37:14] - wwahost.exe  (PID: 6360)
[11:37:14] - SpeechRuntime.exe  (PID: 2036)
[11:37:14] - YourPhoneServer.exe  (PID: 11124)
[11:37:14] - MusNotifyIcon.exe  (PID: 11736)
[11:37:14] - icedragon.exe  (PID: 1680)
[11:37:14] - icedragon.exe  (PID: 4856)
[11:37:14] - icedragon.exe  (PID: 8348)
[11:37:14] - icedragon.exe  (PID: 6384)
[11:37:14] - icedragon.exe  (PID: 12588)
[11:37:14] - icedragon.exe  (PID: 12836)
[11:37:14] - icedragon.exe  (PID: 8232)
[11:37:14] - RuntimeBroker.exe  (PID: 10288)
[11:37:14] - cmd.exe  (PID: 13028)
[11:37:14] - conhost.exe  (PID: 11384)
[11:37:14] - Taskmgr.exe  (PID: 4320)
[11:37:14] - CompPkgSrv.exe  (PID: 2188)
[11:37:14] - MicrosoftEdge.exe  (PID: 7040)
[11:37:14] - browser_broker.exe  (PID: 4384)
[11:37:14] - MicrosoftEdgeSH.exe  (PID: 11676)
[11:37:14] - MicrosoftEdgeCP.exe  (PID: 12820)
[11:37:14] - Lightshot.exe  (PID: 12008)
[11:37:14] - SearchFilterHost.exe  (PID: 9336)
[11:37:14] - cb_console_runner.exe  (PID: 8300)
[11:37:14] - conhost.exe  (PID: 2136)
