[09:27:23] :: BelleShell has started!
[09:27:23] :: Getting all processes and removing window decoration...
[09:27:23] - sihost.exe  (PID: 3444)
[09:27:23] - svchost.exe  (PID: 896)
[09:27:23] - taskhostw.exe  (PID: 3860)
[09:27:23] - ctfmon.exe  (PID: 788)
[09:27:23] - Explorer.EXE  (PID: 984)
[09:27:23] - svchost.exe  (PID: 3564)
[09:27:23] - DllHost.exe  (PID: 3684)
[09:27:23] - StartMenuExperienceHost.exe  (PID: 1760)
[09:27:23] - RuntimeBroker.exe  (PID: 2032)
[09:27:23] - SearchUI.exe  (PID: 2028)
[09:27:23] - RuntimeBroker.exe  (PID: 2972)
[09:27:23] - ApplicationFrameHost.exe  (PID: 4232)
[09:27:23] - RuntimeBroker.exe  (PID: 4656)
[09:27:23] - SecurityHealthSystray.exe  (PID: 5312)
[09:27:23] - vm3dservice.exe  (PID: 5460)
[09:27:23] - vmtoolsd.exe  (PID: 5488)
[09:27:23] - OneDrive.exe  (PID: 5544)
[09:27:23] - WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe  (PID: 3484)
[09:27:23] - LockApp.exe  (PID: 4936)
[09:27:23] - RuntimeBroker.exe  (PID: 1004)
[09:27:23] - smartscreen.exe  (PID: 7076)
[09:27:23] - DllHost.exe  (PID: 6364)
[09:27:23] - RuntimeBroker.exe  (PID: 7240)
[09:27:23] - ShellExperienceHost.exe  (PID: 9124)
[09:27:23] - codeblocks.exe  (PID: 1812)
[09:27:23] - SystemSettings.exe  (PID: 4208)
[09:27:23] - git-bash.exe  (PID: 6020)
[09:27:23] - mintty.exe  (PID: 7024)
[09:27:23] - conhost.exe  (PID: 2944)
[09:27:23] - bash.exe  (PID: 8624)
[09:27:23] - SkypeApp.exe  (PID: 5884)
[09:27:23] - RuntimeBroker.exe  (PID: 9972)
[09:27:23] - taskhostw.exe  (PID: 10156)
[09:27:23] - Microsoft.Photos.exe  (PID: 9992)
[09:27:23] - RuntimeBroker.exe  (PID: 9212)
[09:27:23] - SkypeBackgroundHost.exe  (PID: 2532)
[09:27:23] - YourPhone.exe  (PID: 7336)
[09:27:23] - RuntimeBroker.exe  (PID: 10480)
[09:27:23] - RuntimeBroker.exe  (PID: 7716)
[09:27:23] - wwahost.exe  (PID: 6360)
[09:27:23] - SpeechRuntime.exe  (PID: 2036)
[09:27:23] - YourPhoneServer.exe  (PID: 11124)
[09:27:23] - MusNotifyIcon.exe  (PID: 11736)
[09:27:23] - icedragon.exe  (PID: 1680)
[09:27:23] - icedragon.exe  (PID: 4856)
[09:27:23] - icedragon.exe  (PID: 8348)
[09:27:23] - icedragon.exe  (PID: 6384)
[09:27:23] - icedragon.exe  (PID: 12588)
[09:27:23] - MicrosoftEdge.exe  (PID: 4400)
[09:27:23] - browser_broker.exe  (PID: 8040)
[09:27:23] - MicrosoftEdgeSH.exe  (PID: 1000)
[09:27:23] - MicrosoftEdgeCP.exe  (PID: 6332)
[09:27:23] - icedragon.exe  (PID: 12836)
[09:27:23] - icedragon.exe  (PID: 8232)
[09:27:23] - RuntimeBroker.exe  (PID: 10288)
[09:27:23] - cmd.exe  (PID: 13028)
[09:27:23] - conhost.exe  (PID: 11384)
[09:27:23] - Taskmgr.exe  (PID: 4320)
[09:27:23] - CompPkgSrv.exe  (PID: 2188)
[09:27:23] - SearchFilterHost.exe  (PID: 10968)
